#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
rng_name|rands/second|   Seed            |    Multiplier   |     Increment     |
 QCG-64 |  5.78e+07  |3909821048582988151|90000000000000767|3909821048582988151|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
      rgb_lagged_sum|  22|   1000000|     100|0.83297315|  PASSED
      rgb_lagged_sum|  23|   1000000|     100|0.80147669|  PASSED
      rgb_lagged_sum|  24|   1000000|     100|0.99437545|  PASSED
      rgb_lagged_sum|  25|   1000000|     100|0.24269302|  PASSED
      rgb_lagged_sum|  26|   1000000|     100|0.41645265|  PASSED
      rgb_lagged_sum|  27|   1000000|     100|0.98675185|  PASSED
      rgb_lagged_sum|  28|   1000000|     100|0.67604467|  PASSED
      rgb_lagged_sum|  29|   1000000|     100|0.89516548|  PASSED
      rgb_lagged_sum|  30|   1000000|     100|0.92542956|  PASSED
      rgb_lagged_sum|  31|   1000000|     100|0.85915249|  PASSED
      rgb_lagged_sum|  32|   1000000|     100|0.99010502|  PASSED
     rgb_kstest_test|   0|     10000|    1000|0.05737152|  PASSED
     dab_bytedistrib|   0|  51200000|       1|0.78959306|  PASSED
             dab_dct| 256|     50000|       1|0.36124697|  PASSED
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.17665408|  PASSED
        dab_filltree|  32|  15000000|       1|0.43249247|  PASSED
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.80392424|  PASSED
       dab_filltree2|   1|   5000000|       1|0.11604880|  PASSED
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.27269070|  PASSED
